# wavelength(Angstorms), SED (Lsun/Angstorms)
91.00,0.00
94.00,0.00
96.00,0.00
98.00,0.00
100.00,0.01
102.00,0.00
104.00,0.01
106.00,0.01
108.00,0.01
110.00,0.02
114.00,0.01
118.00,0.01
121.00,0.03
125.00,0.03
127.00,0.03
128.00,0.03
131.00,0.03
132.00,0.03
134.00,0.03
137.00,0.03
140.00,0.04
143.00,0.05
147.00,0.05
151.00,0.05
155.00,0.05
159.00,0.06
162.00,0.07
166.00,0.07
170.00,0.08
173.00,0.05
177.00,0.07
180.00,0.08
182.00,0.09
186.00,0.08
191.00,0.09
194.00,0.10
198.00,0.11
202.00,0.11
205.00,0.12
210.00,0.13
216.00,0.14
220.00,0.12
223.00,0.14
227.00,0.15
230.00,0.21
234.00,0.63
240.00,1.23
246.00,1.19
252.00,1.65
257.00,1.12
260.00,1.52
264.00,1.88
269.00,1.77
274.00,1.87
279.00,1.70
284.00,1.86
290.00,1.87
296.00,1.69
301.00,1.62
308.00,1.38
318.00,1.99
328.00,2.07
338.00,1.84
348.00,1.82
357.00,1.95
366.00,2.05
375.00,2.00
385.00,1.81
395.00,2.02
405.00,2.06
414.00,2.06
422.00,1.96
430.00,2.02
441.00,1.97
451.00,2.01
460.00,2.03
470.00,2.03
480.00,2.02
490.00,1.93
500.00,2.04
506.00,2.10
512.00,2.04
520.00,2.13
530.00,2.08
540.00,1.97
550.00,2.00
560.00,2.11
570.00,2.09
580.00,2.09
590.00,2.09
600.00,1.97
610.00,2.15
620.00,2.10
630.00,2.17
640.00,2.04
650.00,2.08
658.00,2.07
665.00,2.06
675.00,2.08
685.00,2.04
695.00,2.07
705.00,2.04
716.00,2.08
726.00,2.08
735.00,2.08
745.00,2.08
755.00,2.07
765.00,1.70
775.00,2.05
785.00,1.88
795.00,2.10
805.00,2.10
815.00,2.10
825.00,2.10
835.00,1.85
845.00,2.12
855.00,2.13
865.00,2.18
875.00,2.14
885.00,2.15
895.00,2.16
905.00,2.17
915.00,3.48
925.00,6.35
935.00,10.56
945.00,13.88
955.00,15.16
965.00,16.71
975.00,9.42
985.00,16.47
995.00,15.59
1005.00,17.03
1015.00,16.96
1025.00,11.74
1035.00,16.35
1045.00,18.71
1055.00,18.36
1065.00,17.28
1075.00,17.96
1085.00,15.52
1095.00,18.56
1105.00,18.20
1115.00,18.33
1125.00,17.05
1135.00,18.47
1145.00,17.90
1155.00,18.08
1165.00,18.31
1175.00,15.39
1185.00,18.17
1195.00,17.73
1205.00,16.46
1215.00,12.15
1225.00,17.57
1235.00,17.94
1245.00,18.47
1255.00,18.22
1265.00,18.22
1275.00,18.45
1285.00,18.29
1295.00,17.39
1305.00,17.84
1315.00,18.26
1325.00,18.00
1335.00,17.73
1345.00,17.91
1355.00,18.13
1365.00,17.82
1375.00,17.76
1385.00,17.77
1395.00,16.32
1405.00,16.58
1415.00,17.58
1425.00,17.39
1435.00,17.62
1442.00,17.74
1447.00,17.63
1455.00,17.58
1465.00,17.30
1475.00,17.44
1485.00,17.46
1495.00,17.46
1505.00,17.25
1512.00,16.88
1517.00,17.02
1525.00,17.19
1535.00,16.76
1545.00,16.62
1555.00,17.27
1565.00,17.94
1575.00,20.02
1585.00,22.02
1595.00,23.23
1605.00,22.10
1615.00,24.29
1625.00,24.71
1635.00,25.68
1645.00,30.95
1655.00,26.10
1665.00,36.47
1672.00,31.23
1677.00,44.66
1685.00,47.97
1695.00,46.37
1705.00,50.77
1715.00,57.99
1725.00,60.89
1735.00,68.21
1745.00,69.02
1755.00,76.91
1765.00,66.24
1775.00,76.23
1785.00,81.86
1795.00,92.50
1805.00,104.97
1815.00,109.08
1825.00,103.21
1835.00,109.24
1845.00,93.39
1855.00,105.53
1865.00,118.90
1875.00,119.18
1885.00,122.92
1895.00,131.89
1905.00,128.84
1915.00,140.57
1925.00,144.11
1935.00,126.01
1945.00,157.21
1955.00,161.61
1967.00,178.18
1976.00,175.05
1984.00,175.82
1995.00,177.41
2005.00,169.41
2015.00,180.20
2025.00,162.37
2035.00,192.60
2045.00,210.03
2055.00,210.75
2065.00,208.59
2074.00,236.26
2078.00,243.93
2085.00,244.46
2095.00,238.92
2105.00,232.87
2115.00,249.72
2125.00,248.27
2135.00,230.28
2145.00,262.99
2155.00,262.11
2165.00,247.94
2175.00,252.17
2185.00,276.44
2195.00,304.89
2205.00,296.60
2215.00,274.88
2225.00,293.33
2235.00,340.32
2245.00,320.08
2255.00,297.28
2265.00,288.95
2275.00,315.31
2285.00,342.51
2295.00,318.09
2305.00,350.91
2315.00,353.84
2325.00,316.35
2335.00,323.86
2345.00,272.88
2355.00,370.91
2365.00,299.27
2375.00,349.09
2385.00,264.85
2395.00,312.79
2405.00,311.18
2415.00,325.97
2425.00,415.80
2435.00,408.65
2445.00,445.37
2455.00,449.07
2465.00,454.74
2475.00,420.07
2485.00,381.03
2495.00,392.63
2505.00,489.76
2513.00,389.41
2518.00,333.18
2525.00,332.98
2535.00,382.39
2545.00,400.68
2555.00,478.89
2565.00,463.04
2575.00,523.30
2585.00,519.40
2595.00,507.41
2605.00,479.01
2615.00,449.73
2625.00,539.54
2635.00,610.61
2645.00,738.61
2655.00,800.71
2665.00,709.84
2675.00,768.66
2685.00,809.96
2695.00,716.73
2705.00,766.90
2715.00,679.94
2725.00,680.66
2735.00,748.35
2745.00,581.63
2755.00,664.44
2765.00,765.25
2775.00,818.80
2785.00,714.80
2795.00,355.35
2805.00,440.87
2815.00,867.94
2825.00,945.37
2835.00,929.44
2845.00,863.76
2855.00,685.31
2865.00,948.36
2875.00,994.87
2885.00,999.38
2895.00,1031.01
2910.00,1171.82
2930.00,1150.53
2950.00,1144.68
2970.00,1181.69
2990.00,1221.12
3010.00,1259.40
3030.00,1300.08
3050.00,1363.57
3070.00,1376.35
3090.00,1392.19
3110.00,1440.87
3130.00,1448.39
3150.00,1466.50
3170.00,1547.58
3190.00,1492.05
3210.00,1597.87
3230.00,1550.82
3250.00,1743.45
3270.00,1896.45
3290.00,1921.16
3310.00,1941.35
3330.00,1949.49
3350.00,1953.71
3370.00,1796.83
3390.00,1948.13
3410.00,2004.67
3430.00,2135.96
3450.00,2160.51
3470.00,2223.72
3490.00,2318.88
3510.00,2420.68
3530.00,2382.63
3550.00,2588.55
3570.00,2392.40
3590.00,2382.14
3610.00,2546.41
3630.00,2618.86
3640.00,2665.85
3650.00,2791.81
3670.00,2807.77
3690.00,2775.32
3710.00,3044.27
3730.00,2835.78
3750.00,3170.06
3770.00,3454.91
3790.00,3685.88
3810.00,3921.13
3830.00,3320.78
3850.00,4017.57
3870.00,4072.29
3890.00,3718.39
3910.00,4377.28
3930.00,3429.63
3950.00,4469.24
3970.00,3435.66
3990.00,4991.53
4010.00,5271.68
4030.00,5317.78
4050.00,5358.96
4070.00,5326.02
4090.00,5490.09
4110.00,5149.06
4130.00,5715.84
4150.00,5801.37
4170.00,5937.37
4190.00,5884.00
4210.00,5945.48
4230.00,5914.94
4250.00,5999.70
4270.00,5967.88
4290.00,5809.22
4310.00,5366.02
4330.00,6123.76
4350.00,5853.78
4370.00,6562.02
4390.00,6509.52
4410.00,6770.31
4430.00,7118.09
4450.00,7153.13
4470.00,7381.68
4490.00,7557.42
4510.00,7834.02
4530.00,7634.41
4550.00,7777.31
4570.00,8063.98
4590.00,8008.95
4610.00,8164.40
4630.00,8212.26
4650.00,8280.09
4670.00,8438.74
4690.00,8481.72
4710.00,8469.69
4730.00,8628.09
4750.00,8750.74
4770.00,8802.36
4790.00,8844.71
4810.00,8930.45
4830.00,8939.47
4850.00,8675.53
4870.00,8025.68
4890.00,9007.48
4910.00,9153.60
4930.00,9098.72
4950.00,9288.21
4970.00,9455.01
4990.00,9252.70
5010.00,9144.93
5030.00,9455.08
5050.00,9442.58
5070.00,9635.53
5090.00,9566.65
5110.00,9637.96
5130.00,9616.11
5150.00,9528.18
5170.00,9390.00
5190.00,9573.62
5210.00,9683.40
5230.00,9912.62
5250.00,10133.19
5270.00,9821.89
5290.00,10266.12
5310.00,10445.44
5330.00,10213.31
5350.00,10515.03
5370.00,10515.33
5390.00,10539.74
5410.00,10530.86
5430.00,10631.90
5450.00,10759.07
5470.00,10821.59
5490.00,10902.99
5510.00,10919.93
5530.00,11049.83
5550.00,11187.52
5570.00,11125.29
5590.00,11150.35
5610.00,11247.79
5630.00,11372.92
5650.00,11449.60
5670.00,11451.86
5690.00,11618.70
5710.00,11564.61
5730.00,11815.29
5750.00,11818.95
5770.00,11907.27
5790.00,11910.47
5810.00,12045.97
5830.00,12158.06
5850.00,12111.83
5870.00,12165.42
5890.00,11884.46
5910.00,12219.46
5930.00,12302.46
5950.00,12393.70
5970.00,12479.80
5990.00,12525.96
6010.00,12526.29
6030.00,12634.29
6050.00,12800.57
6070.00,12842.90
6090.00,12875.41
6110.00,12917.59
6130.00,12787.48
6150.00,12965.81
6170.00,12878.97
6190.00,13022.56
6210.00,13051.32
6230.00,12999.78
6250.00,12935.78
6270.00,13196.07
6290.00,13288.17
6310.00,13296.02
6330.00,13443.51
6350.00,13548.76
6370.00,13600.32
6390.00,13681.52
6410.00,13656.64
6430.00,13742.22
6450.00,13814.75
6470.00,13851.07
6490.00,13754.39
6510.00,13956.55
6530.00,14046.45
6550.00,13726.02
6570.00,12534.79
6590.00,14073.27
6610.00,14277.22
6630.00,14351.78
6650.00,14360.86
6670.00,14337.62
6690.00,14494.15
6710.00,14454.53
6730.00,14559.02
6750.00,14575.99
6770.00,14660.08
6790.00,14713.34
6810.00,14749.49
6830.00,14826.75
6850.00,14828.50
6870.00,14927.20
6890.00,15044.76
6910.00,15063.27
6930.00,15073.15
6950.00,15056.94
6970.00,15145.37
6990.00,15194.41
7010.00,15193.01
7030.00,15314.96
7050.00,15376.88
7070.00,15298.17
7090.00,15245.44
7110.00,15221.71
7130.00,15174.95
7150.00,15207.51
7170.00,15336.67
7190.00,15300.76
7210.00,15421.52
7230.00,15572.26
7250.00,15632.28
7270.00,15687.29
7290.00,15670.56
7310.00,15770.26
7330.00,15822.58
7350.00,15901.95
7370.00,16011.43
7390.00,16005.71
7410.00,15924.48
7430.00,16063.98
7450.00,16099.51
7470.00,16161.24
7490.00,16202.00
7510.00,16258.52
7530.00,16332.84
7550.00,16417.84
7570.00,16456.70
7590.00,16478.35
7610.00,16488.14
7630.00,16459.02
7650.00,16458.30
7670.00,16308.83
7690.00,16474.02
7710.00,16408.41
7730.00,16526.39
7750.00,16542.78
7770.00,16678.78
7790.00,16725.99
7810.00,16815.72
7830.00,16786.37
7850.00,16763.97
7870.00,16774.25
7890.00,16704.62
7910.00,16614.77
7930.00,16581.83
7950.00,16619.75
7970.00,16809.92
7990.00,16882.04
8010.00,16894.72
8030.00,16965.69
8050.00,16911.70
8070.00,16947.45
8090.00,16888.49
8110.00,16953.06
8130.00,17013.27
8150.00,17039.90
8170.00,17075.03
8190.00,16968.06
8210.00,17103.44
8230.00,17139.28
8250.00,17235.62
8270.00,17301.96
8290.00,17284.47
8310.00,17215.91
8330.00,17130.29
8350.00,17294.82
8370.00,17302.44
8390.00,17142.74
8410.00,17375.23
8430.00,17304.54
8450.00,17412.51
8470.00,17292.25
8490.00,17351.00
8510.00,16860.57
8530.00,17351.92
8550.00,16100.24
8570.00,17619.66
8590.00,17566.23
8610.00,17551.83
8630.00,17774.14
8650.00,17714.66
8670.00,16437.81
8690.00,17603.69
8710.00,17869.51
8730.00,17922.37
8750.00,17599.50
8770.00,17928.60
8790.00,17967.63
8810.00,17872.36
8830.00,17928.16
8850.00,17972.13
8870.00,17677.75
8890.00,18099.22
8910.00,18173.49
8930.00,18162.59
8950.00,18153.72
8970.00,18201.33
8990.00,18222.71
9010.00,17739.50
9030.00,18166.44
9050.00,18380.26
9070.00,18363.54
9090.00,18175.11
9110.00,18286.05
9130.00,18283.71
9150.00,18222.93
9170.00,18150.70
9190.00,18126.39
9210.00,18018.30
9230.00,17730.11
9250.00,18089.16
9270.00,18217.73
9290.00,18242.20
9310.00,18310.59
9330.00,18333.07
9350.00,18273.16
9370.00,18170.78
9390.00,18229.81
9410.00,18130.64
9430.00,18299.27
9450.00,18265.24
9470.00,18345.16
9490.00,18432.28
9510.00,18461.67
9530.00,18437.62
9550.00,18030.64
9570.00,18420.05
9590.00,18496.47
9610.00,18451.82
9630.00,18464.96
9650.00,18420.65
9670.00,18385.10
9690.00,18472.57
9710.00,18460.17
9730.00,18476.87
9750.00,18482.64
9770.00,18578.75
9790.00,18574.69
9810.00,18705.92
9830.00,18745.54
9850.00,18748.63
9870.00,18733.22
9890.00,18743.62
9910.00,18745.13
9930.00,18777.36
9950.00,18810.89
9970.00,18848.07
9990.00,18872.00
10025.00,18833.16
10075.00,18738.66
10125.00,18984.34
10175.00,18971.20
10225.00,19040.29
10275.00,19122.61
10325.00,19086.61
10375.00,19158.41
10425.00,19196.38
10475.00,19175.70
10525.00,19249.78
10575.00,19271.64
10625.00,19289.58
10675.00,19213.73
10725.00,19314.81
10775.00,19302.35
10825.00,19256.77
10875.00,19187.34
10925.00,18853.55
10975.00,18895.23
11025.00,18936.23
11075.00,19033.31
11125.00,19093.12
11175.00,19148.61
11225.00,19252.51
11275.00,19199.33
11325.00,19243.63
11375.00,19237.72
11425.00,19227.83
11475.00,19408.90
11525.00,19382.01
11575.00,19400.73
11625.00,19284.32
11675.00,19426.72
11725.00,19540.39
11775.00,19436.36
11825.00,19449.52
11875.00,19470.48
11925.00,19606.86
11975.00,19360.76
12025.00,19525.79
12075.00,19507.83
12125.00,19615.73
12175.00,19681.12
12225.00,19715.38
12275.00,19697.75
12325.00,19763.94
12375.00,19755.16
12425.00,19751.54
12475.00,19796.35
12525.00,19816.01
12575.00,19897.25
12625.00,19929.94
12675.00,19899.07
12725.00,19977.26
12775.00,20014.09
12825.00,19665.14
12875.00,19987.50
